,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
4528,4528,2023-08-23 07:45:00,OANDA:AUDCAD,0.87128,0.87152,0.87123,0.87145,419.0,Interval.in_15_minute,51781500.0,,None
4529,4529,2023-08-23 07:30:00,OANDA:AUDCAD,0.8714,0.87147,0.87121,0.87128,472.0,Interval.in_15_minute,51780600.0,,None
4530,4530,2023-08-23 07:15:00,OANDA:AUDCAD,0.87148,0.87151,0.8712,0.8714,227.0,Interval.in_15_minute,51779700.0,,None
4531,4531,2023-08-23 07:00:00,OANDA:AUDCAD,0.87164,0.87176,0.87131,0.87148,406.0,Interval.in_15_minute,51778800.0,,None
4532,4532,2023-08-23 06:45:00,OANDA:AUDCAD,0.87178,0.8719,0.87138,0.87164,481.0,Interval.in_15_minute,51777900.0,,None
4533,4533,2023-08-23 06:30:00,OANDA:AUDCAD,0.87172,0.87234,0.87172,0.87178,696.0,Interval.in_15_minute,51777000.0,,None
4534,4534,2023-08-23 06:15:00,OANDA:AUDCAD,0.87213,0.8722,0.87163,0.87172,342.0,Interval.in_15_minute,51776100.0,,None
4535,4535,2023-08-23 06:00:00,OANDA:AUDCAD,0.87232,0.87248,0.87196,0.87213,694.0,Interval.in_15_minute,51775200.0,,None
4536,4536,2023-08-23 05:45:00,OANDA:AUDCAD,0.87281,0.87283,0.87221,0.87232,580.0,Interval.in_15_minute,51774300.0,,None
4537,4537,2023-08-23 05:30:00,OANDA:AUDCAD,0.87262,0.87306,0.87261,0.87281,520.0,Interval.in_15_minute,51773400.0,,None
4538,4538,2023-08-23 05:15:00,OANDA:AUDCAD,0.87282,0.87286,0.87246,0.87262,436.0,Interval.in_15_minute,51772500.0,,None
4539,4539,2023-08-23 05:00:00,OANDA:AUDCAD,0.87268,0.87316,0.87249,0.87282,963.0,Interval.in_15_minute,51771600.0,,None
4540,4540,2023-08-23 04:45:00,OANDA:AUDCAD,0.8728,0.87284,0.87237,0.87268,1206.0,Interval.in_15_minute,51770700.0,,None
4541,4541,2023-08-23 04:30:00,OANDA:AUDCAD,0.873,0.87308,0.87248,0.8728,878.0,Interval.in_15_minute,51769800.0,,None
4542,4542,2023-08-23 04:15:00,OANDA:AUDCAD,0.87216,0.87314,0.87216,0.873,797.0,Interval.in_15_minute,51768900.0,,None
4543,4543,2023-08-23 04:00:00,OANDA:AUDCAD,0.87156,0.87224,0.87143,0.87216,851.0,Interval.in_15_minute,51768000.0,,None
4544,4544,2023-08-23 03:45:00,OANDA:AUDCAD,0.87168,0.87188,0.8714,0.87156,432.0,Interval.in_15_minute,51767100.0,,None
4545,4545,2023-08-23 03:30:00,OANDA:AUDCAD,0.87166,0.87206,0.87155,0.87168,414.0,Interval.in_15_minute,51766200.0,,None
4546,4546,2023-08-23 03:15:00,OANDA:AUDCAD,0.87102,0.87186,0.871,0.87166,394.0,Interval.in_15_minute,51765300.0,,None
4547,4547,2023-08-23 03:00:00,OANDA:AUDCAD,0.87046,0.87112,0.87012,0.87102,689.0,Interval.in_15_minute,51764400.0,,None
4548,4548,2023-08-23 02:45:00,OANDA:AUDCAD,0.8708,0.87083,0.87042,0.87046,193.0,Interval.in_15_minute,51763500.0,,None
4549,4549,2023-08-23 02:30:00,OANDA:AUDCAD,0.87064,0.87082,0.87054,0.8708,114.0,Interval.in_15_minute,51762600.0,,None
4550,4550,2023-08-23 02:15:00,OANDA:AUDCAD,0.87051,0.87071,0.8705,0.87064,74.0,Interval.in_15_minute,51761700.0,,None
4551,4551,2023-08-23 02:00:00,OANDA:AUDCAD,0.87052,0.87059,0.8704,0.87051,135.0,Interval.in_15_minute,51760800.0,,None
4552,4552,2023-08-23 01:45:00,OANDA:AUDCAD,0.87059,0.87072,0.8704,0.87052,256.0,Interval.in_15_minute,51759900.0,,None
4553,4553,2023-08-23 01:30:00,OANDA:AUDCAD,0.87063,0.87074,0.87055,0.87059,85.0,Interval.in_15_minute,51759000.0,,None
4554,4554,2023-08-23 01:15:00,OANDA:AUDCAD,0.87059,0.87069,0.87051,0.87063,112.0,Interval.in_15_minute,51758100.0,,None
4555,4555,2023-08-23 01:00:00,OANDA:AUDCAD,0.87045,0.87063,0.87036,0.87059,190.0,Interval.in_15_minute,51757200.0,,None
4556,4556,2023-08-23 00:45:00,OANDA:AUDCAD,0.87034,0.87058,0.87026,0.87045,117.0,Interval.in_15_minute,51756300.0,,None
4557,4557,2023-08-23 00:30:00,OANDA:AUDCAD,0.87048,0.87053,0.87032,0.87034,117.0,Interval.in_15_minute,51755400.0,,None
4558,4558,2023-08-23 00:15:00,OANDA:AUDCAD,0.87026,0.8707,0.86996,0.87048,286.0,Interval.in_15_minute,51754500.0,,None
4559,4559,2023-08-23 00:00:00,OANDA:AUDCAD,0.87029,0.87036,0.86995,0.87026,76.0,Interval.in_15_minute,51753600.0,,None
4560,4560,2023-08-22 23:45:00,OANDA:AUDCAD,0.87054,0.87065,0.87028,0.87029,174.0,Interval.in_15_minute,51752700.0,,None
4561,4561,2023-08-22 23:30:00,OANDA:AUDCAD,0.8707,0.87073,0.87053,0.87054,169.0,Interval.in_15_minute,51751800.0,,None
4562,4562,2023-08-22 23:15:00,OANDA:AUDCAD,0.8708,0.87086,0.87061,0.8707,182.0,Interval.in_15_minute,51750900.0,,None
4563,4563,2023-08-22 23:00:00,OANDA:AUDCAD,0.87066,0.87086,0.87066,0.8708,244.0,Interval.in_15_minute,51750000.0,,None
4564,4564,2023-08-22 22:45:00,OANDA:AUDCAD,0.87051,0.87084,0.87049,0.87066,504.0,Interval.in_15_minute,51749100.0,,None
4565,4565,2023-08-22 22:30:00,OANDA:AUDCAD,0.87069,0.87072,0.87036,0.87051,693.0,Interval.in_15_minute,51748200.0,,None
4566,4566,2023-08-22 22:15:00,OANDA:AUDCAD,0.87095,0.87104,0.87062,0.87069,347.0,Interval.in_15_minute,51747300.0,,None
