,datetime,close_price,ScalpPro,NW,UMA,Volume
1417,2023-10-11 01:13:00,0.64314,long,long,long,neutral
1418,2023-10-11 01:12:00,0.64324,long,long,long,long
1419,2023-10-11 01:11:00,0.64322,long,long,long,neutral
1420,2023-10-11 01:10:00,0.64322,long,long,long,neutral
1421,2023-10-11 01:09:00,0.64323,long,long,long,long
1422,2023-10-11 01:08:00,0.64318,long,long,long,neutral
1423,2023-10-11 01:07:00,0.64317,long,long,long,neutral
1424,2023-10-11 01:06:00,0.64322,long,long,long,long
1425,2023-10-11 01:05:00,0.64322,long,long,long,long
1426,2023-10-11 01:02:00,0.6431,long,long,short,neutral
1427,2023-10-11 01:01:00,0.64309,long,long,long,neutral
1428,2023-10-11 01:00:00,0.64312,long,long,short,neutral
1429,2023-10-11 00:59:00,0.64304,long,long,long,neutral
1430,2023-10-11 00:58:00,0.64312,long,long,long,long
1431,2023-10-11 00:57:00,0.64312,long,long,long,long
1432,2023-10-11 00:56:00,0.64312,long,long,long,neutral
1433,2023-10-11 00:55:00,0.64312,long,long,long,neutral
1434,2023-10-11 00:54:00,0.64316,long,long,long,long
1435,2023-10-11 00:50:00,0.64316,long,long,long,long
1436,2023-10-11 00:48:00,0.64315,long,long,long,long
1437,2023-10-11 00:47:00,0.64311,long,long,long,long
1438,2023-10-11 00:46:00,0.64308,long,long,long,long
1439,2023-10-11 00:45:00,0.64308,long,long,long,long
1440,2023-10-11 00:44:00,0.64308,long,long,long,long
1441,2023-10-11 00:43:00,0.64308,long,long,long,long
1442,2023-10-11 00:42:00,0.64308,long,long,short,long
1443,2023-10-11 00:41:00,0.64304,long,long,short,long
1444,2023-10-11 00:39:00,0.64304,long,long,short,neutral
1445,2023-10-11 00:38:00,0.64304,long,long,long,neutral
1446,2023-10-11 00:36:00,0.6431,long,long,long,long
1447,2023-10-11 00:35:00,0.6431,long,long,long,long
1448,2023-10-11 00:34:00,0.6431,long,long,long,long
1449,2023-10-11 00:33:00,0.64307,long,long,short,long
1450,2023-10-11 00:32:00,0.64306,long,long,short,long
1451,2023-10-11 00:31:00,0.643,long,long,short,long
1452,2023-10-11 00:30:00,0.64296,long,long,long,neutral
1453,2023-10-11 00:29:00,0.64292,long,long,long,neutral
1454,2023-10-11 00:28:00,0.64294,long,long,short,neutral
1455,2023-10-11 00:27:00,0.64294,long,long,short,neutral
1456,2023-10-11 00:26:00,0.64302,long,long,short,long
1457,2023-10-11 00:25:00,0.643,long,long,short,neutral
1458,2023-10-11 00:24:00,0.643,long,long,short,short
1459,2023-10-11 00:23:00,0.64307,long,long,short,neutral
1460,2023-10-11 00:21:00,0.64308,long,long,short,neutral
1461,2023-10-11 00:17:00,0.64302,long,long,short,short
1462,2023-10-11 00:15:00,0.64303,long,long,short,neutral
1463,2023-10-11 00:14:00,0.64312,long,long,long,long
1464,2023-10-11 00:13:00,0.64311,long,long,short,long
1465,2023-10-11 00:12:00,0.64308,long,long,short,neutral
1466,2023-10-11 00:11:00,0.64302,long,long,short,neutral
1467,2023-10-11 00:10:00,0.64303,long,long,short,neutral
1468,2023-10-11 00:09:00,0.64302,long,long,short,short
1469,2023-10-11 00:07:00,0.6431,long,long,long,neutral
1470,2023-10-11 00:06:00,0.64312,long,long,long,neutral
1471,2023-10-11 00:05:00,0.64312,long,long,long,neutral
1472,2023-10-11 00:04:00,0.64314,long,long,short,neutral
1473,2023-10-11 00:03:00,0.64247,long,long,short,short
1474,2023-10-10 23:58:00,0.643175,long,short,long,neutral
1475,2023-10-10 23:57:00,0.64318,long,short,long,long
1476,2023-10-10 23:56:00,0.64314,long,short,long,long
1477,2023-10-10 23:55:00,0.64312,long,short,long,neutral
1478,2023-10-10 23:54:00,0.6431,long,short,long,neutral
1479,2023-10-10 23:52:00,0.64314,long,short,long,long
1480,2023-10-10 23:51:00,0.64314,long,short,neutral,neutral
1481,2023-10-10 23:50:00,0.64312,long,short,short,neutral
1482,2023-10-10 23:49:00,0.64314,long,long,short,long
1483,2023-10-10 23:48:00,0.64312,long,long,short,neutral
1484,2023-10-10 23:47:00,0.64308,long,long,short,neutral
1485,2023-10-10 23:46:00,0.64312,long,long,long,neutral
1486,2023-10-10 23:45:00,0.6431,long,long,long,neutral
1487,2023-10-10 23:44:00,0.64312,long,long,long,long
1488,2023-10-10 23:43:00,0.6431,long,long,long,neutral
1489,2023-10-10 23:42:00,0.64308,long,long,long,neutral
1490,2023-10-10 23:41:00,0.64309,long,long,long,neutral
1491,2023-10-10 23:40:00,0.64302,long,long,long,short
1492,2023-10-10 23:39:00,0.64305,long,long,long,neutral
1493,2023-10-10 23:38:00,0.64314,long,long,long,long
1494,2023-10-10 23:37:00,0.6431,long,long,long,long
1495,2023-10-10 23:36:00,0.64306,long,long,long,long
1496,2023-10-10 23:35:00,0.64306,long,long,short,neutral
1497,2023-10-10 23:34:00,0.64303,long,long,short,short
1498,2023-10-10 23:32:00,0.64307,long,long,long,short
1499,2023-10-10 23:31:00,0.6431,long,long,long,short
1500,2023-10-10 23:30:00,0.64312,long,long,long,short
1501,2023-10-10 23:29:00,0.64314,long,long,long,neutral
1502,2023-10-10 23:28:00,0.64316,long,long,long,long
1503,2023-10-10 23:27:00,0.64312,long,long,long,long
1504,2023-10-10 23:26:00,0.64312,long,long,long,long
1505,2023-10-10 23:25:00,0.64309,long,long,long,long
1506,2023-10-10 23:23:00,0.64308,long,long,long,long
1507,2023-10-10 23:22:00,0.64308,long,long,long,long
1508,2023-10-10 23:21:00,0.64308,long,long,long,long
1509,2023-10-10 23:20:00,0.64308,long,long,long,long
1510,2023-10-10 23:19:00,0.64302,long,long,long,neutral
1511,2023-10-10 23:18:00,0.64302,long,long,long,neutral
1512,2023-10-10 23:17:00,0.64304,long,long,long,neutral
1513,2023-10-10 23:16:00,0.64301,long,long,long,neutral
1514,2023-10-10 23:15:00,0.64308,long,long,long,long
1515,2023-10-10 23:14:00,0.64305,long,long,long,neutral
1516,2023-10-10 23:13:00,0.64305,long,long,long,neutral
1517,2023-10-10 23:12:00,0.64308,long,long,long,long
1518,2023-10-10 23:11:00,0.64304,long,long,long,neutral
1519,2023-10-10 23:10:00,0.64294,long,long,long,short
1520,2023-10-10 23:09:00,0.64295,long,long,long,neutral
1521,2023-10-10 23:08:00,0.64297,long,long,long,neutral
1522,2023-10-10 23:07:00,0.64292,long,long,long,short
1523,2023-10-10 23:06:00,0.64295,long,long,long,short
1524,2023-10-10 23:05:00,0.64296,long,long,long,short
1525,2023-10-10 23:04:00,0.643,long,long,long,neutral
1526,2023-10-10 23:03:00,0.64301,long,long,long,long
1527,2023-10-10 23:02:00,0.64299,long,long,long,long
1528,2023-10-10 23:01:00,0.64298,long,long,long,long
1529,2023-10-10 23:00:00,0.6429,long,long,long,long
1530,2023-10-10 22:59:00,0.64289,long,long,long,long
1531,2023-10-10 22:58:00,0.64284,long,long,long,neutral
1532,2023-10-10 22:57:00,0.64276,long,long,long,neutral
1533,2023-10-10 22:56:00,0.64289,long,long,long,long
1534,2023-10-10 22:55:00,0.64284,long,long,long,long
1535,2023-10-10 22:54:00,0.64284,long,long,long,neutral
1536,2023-10-10 22:53:00,0.6428,long,long,long,neutral
1537,2023-10-10 22:52:00,0.64285,long,long,long,long
1538,2023-10-10 22:51:00,0.64285,long,long,long,neutral
1539,2023-10-10 22:50:00,0.6428,long,long,long,neutral
1540,2023-10-10 22:49:00,0.64284,long,long,long,neutral
1541,2023-10-10 22:48:00,0.64275,long,long,long,short
1542,2023-10-10 22:47:00,0.64276,long,long,long,neutral
1543,2023-10-10 22:46:00,0.64278,long,long,long,long
1544,2023-10-10 22:45:00,0.64276,long,long,long,long
1545,2023-10-10 22:44:00,0.64262,long,long,long,long
1546,2023-10-10 22:43:00,0.64254,long,long,long,neutral
1547,2023-10-10 22:42:00,0.64248,long,long,long,neutral
1548,2023-10-10 22:41:00,0.64254,long,long,long,long
1549,2023-10-10 22:40:00,0.64254,long,long,long,neutral
1550,2023-10-10 22:39:00,0.6425,long,long,long,neutral
1551,2023-10-10 22:38:00,0.64258,long,long,long,neutral
1552,2023-10-10 22:37:00,0.6425,long,long,long,neutral
1553,2023-10-10 22:36:00,0.64252,long,long,long,long
1554,2023-10-10 22:35:00,0.6425,long,long,long,neutral
1555,2023-10-10 22:33:00,0.64249,long,long,long,neutral
