,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2623,2023-10-19 15:48:00,OANDA:EURUSD,1.05734,1.05744,1.05706,1.05716,441.0,Interval.in_3_minute,56735280.0
2624,2023-10-19 15:51:00,OANDA:EURUSD,1.05716,1.05794,1.05686,1.05789,490.0,Interval.in_3_minute,56735460.0
2625,2023-10-19 15:54:00,OANDA:EURUSD,1.05789,1.05797,1.05738,1.05748,418.0,Interval.in_3_minute,56735640.0
2626,2023-10-19 15:57:00,OANDA:EURUSD,1.05748,1.05774,1.05748,1.05763,423.0,Interval.in_3_minute,56735820.0
2627,2023-10-19 16:00:00,OANDA:EURUSD,1.05763,1.05774,1.05742,1.05754,477.0,Interval.in_3_minute,56736000.0
2628,2023-10-19 16:03:00,OANDA:EURUSD,1.05754,1.05793,1.05754,1.05786,290.0,Interval.in_3_minute,56736180.0
2629,2023-10-19 16:06:00,OANDA:EURUSD,1.05786,1.05787,1.05742,1.05781,265.0,Interval.in_3_minute,56736360.0
2630,2023-10-19 16:09:00,OANDA:EURUSD,1.05781,1.05784,1.05746,1.05784,342.0,Interval.in_3_minute,56736540.0
2631,2023-10-19 16:12:00,OANDA:EURUSD,1.05784,1.05788,1.05717,1.05723,292.0,Interval.in_3_minute,56736720.0
2632,2023-10-19 16:15:00,OANDA:EURUSD,1.05723,1.05749,1.05718,1.05748,415.0,Interval.in_3_minute,56736900.0
2633,2023-10-19 16:18:00,OANDA:EURUSD,1.05748,1.05749,1.05686,1.05704,300.0,Interval.in_3_minute,56737080.0
2634,2023-10-19 16:21:00,OANDA:EURUSD,1.05704,1.05736,1.05701,1.05706,303.0,Interval.in_3_minute,56737260.0
2635,2023-10-19 16:24:00,OANDA:EURUSD,1.05706,1.05716,1.05663,1.05672,301.0,Interval.in_3_minute,56737440.0
2636,2023-10-19 16:27:00,OANDA:EURUSD,1.05672,1.05688,1.05658,1.05676,323.0,Interval.in_3_minute,56737620.0
2637,2023-10-19 16:30:00,OANDA:EURUSD,1.05676,1.05706,1.05662,1.05704,512.0,Interval.in_3_minute,56737800.0
2638,2023-10-19 16:33:00,OANDA:EURUSD,1.05704,1.05719,1.05688,1.05696,443.0,Interval.in_3_minute,56737980.0
2639,2023-10-19 16:36:00,OANDA:EURUSD,1.05696,1.05747,1.05684,1.05744,431.0,Interval.in_3_minute,56738160.0
2640,2023-10-19 16:39:00,OANDA:EURUSD,1.05744,1.05817,1.05741,1.05797,494.0,Interval.in_3_minute,56738340.0
