,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2594,2594,2023-10-24 22:46:00,OANDA:AUDCAD,0.87294,0.873005,0.87294,0.873,13.0,Interval.in_1_minute,57192360.0
2595,2595,2023-10-24 22:47:00,OANDA:AUDCAD,0.873,0.873005,0.87296,0.873,17.0,Interval.in_1_minute,57192420.0
2596,2596,2023-10-24 22:48:00,OANDA:AUDCAD,0.873,0.87308,0.87296,0.87308,8.0,Interval.in_1_minute,57192480.0
2597,2597,2023-10-24 22:49:00,OANDA:AUDCAD,0.87308,0.87309,0.87299,0.87299,7.0,Interval.in_1_minute,57192540.0
2598,2598,2023-10-24 22:50:00,OANDA:AUDCAD,0.87299,0.87308,0.872935,0.873,34.0,Interval.in_1_minute,57192600.0
2599,2599,2023-10-24 22:51:00,OANDA:AUDCAD,0.873,0.873005,0.87293,0.87296,7.0,Interval.in_1_minute,57192660.0
2600,2600,2023-10-24 22:52:00,OANDA:AUDCAD,0.87296,0.87302,0.87296,0.87298,8.0,Interval.in_1_minute,57192720.0
2601,2601,2023-10-24 22:53:00,OANDA:AUDCAD,0.87298,0.873,0.87293,0.87298,13.0,Interval.in_1_minute,57192780.0
2602,2602,2023-10-24 22:54:00,OANDA:AUDCAD,0.87298,0.87299,0.87292,0.87296,16.0,Interval.in_1_minute,57192840.0
2603,2603,2023-10-24 22:55:00,OANDA:AUDCAD,0.87296,0.87304,0.87296,0.87303,24.0,Interval.in_1_minute,57192900.0
2604,2604,2023-10-24 22:56:00,OANDA:AUDCAD,0.87303,0.87303,0.872995,0.873,9.0,Interval.in_1_minute,57192960.0
2605,2605,2023-10-24 22:57:00,OANDA:AUDCAD,0.873,0.87306,0.87296,0.873,16.0,Interval.in_1_minute,57193020.0
2606,2606,2023-10-24 22:58:00,OANDA:AUDCAD,0.873,0.87304,0.87298,0.87304,3.0,Interval.in_1_minute,57193080.0
2607,2607,2023-10-24 22:59:00,OANDA:AUDCAD,0.87304,0.873085,0.87302,0.87304,42.0,Interval.in_1_minute,57193140.0
2608,2608,2023-10-24 23:00:00,OANDA:AUDCAD,0.87304,0.87311,0.87297,0.87304,36.0,Interval.in_1_minute,57193200.0
2609,2609,2023-10-24 23:01:00,OANDA:AUDCAD,0.87304,0.87313,0.87304,0.8731,53.0,Interval.in_1_minute,57193260.0
2610,2610,2023-10-24 23:02:00,OANDA:AUDCAD,0.8731,0.87312,0.87295,0.87297,65.0,Interval.in_1_minute,57193320.0
2611,2611,2023-10-24 23:03:00,OANDA:AUDCAD,0.87297,0.87298,0.87288,0.8729,48.0,Interval.in_1_minute,57193380.0
2612,2612,2023-10-24 23:04:00,OANDA:AUDCAD,0.8729,0.87299,0.87284,0.87299,28.0,Interval.in_1_minute,57193440.0
2613,2613,2023-10-24 23:05:00,OANDA:AUDCAD,0.87299,0.87306,0.87299,0.87304,11.0,Interval.in_1_minute,57193500.0
2614,2614,2023-10-24 23:06:00,OANDA:AUDCAD,0.87304,0.87309,0.87304,0.87307,22.0,Interval.in_1_minute,57193560.0
2615,2615,2023-10-24 23:07:00,OANDA:AUDCAD,0.87307,0.87308,0.87303,0.87304,8.0,Interval.in_1_minute,57193620.0
2616,2616,2023-10-24 23:08:00,OANDA:AUDCAD,0.87304,0.87306,0.87303,0.87304,11.0,Interval.in_1_minute,57193680.0
2617,2617,2023-10-24 23:09:00,OANDA:AUDCAD,0.87304,0.87306,0.873015,0.87305,23.0,Interval.in_1_minute,57193740.0
