,currency,interval,open_time,close_time,signal_type,open_price,close_price,is_profit
218,EURUSD,Interval.in_3_minute,2023-11-30 20:18:28,2023-11-30 20:30:34,short,1.08978,1.08983,False
219,EURJPY,Interval.in_1_minute,2023-11-30 21:35:35,2023-11-30 21:39:42,short,161.377,161.396,False
220,AUDUSD,Interval.in_3_minute,2023-11-30 21:42:38,2023-11-30 21:54:45,long,0.66095,0.66102,True
221,AUDCAD,Interval.in_3_minute,2023-11-30 21:54:41,2023-11-30 22:06:47,short,0.8968,0.89664,True
222,AUDCAD,Interval.in_5_minute,2023-11-30 21:45:49,2023-11-30 22:10:56,short,0.89668,0.89637,True
223,AUDCAD,Interval.in_5_minute,2023-11-30 21:50:31,2023-11-30 22:15:39,short,0.89656,0.89622,True
224,AUDCAD,Interval.in_5_minute,2023-11-30 21:55:45,2023-11-30 22:20:52,short,0.89676,0.89613,True
225,EURJPY,Interval.in_1_minute,2023-12-04 10:05:29,2023-12-04 10:09:37,short,159.71,159.774,False
226,AUDJPY,Interval.in_1_minute,2023-12-04 10:14:24,2023-12-04 10:18:31,short,97.597,97.604,False
227,AUDCAD,Interval.in_3_minute,2023-12-04 10:09:30,2023-12-04 10:21:36,short,0.89856,0.89877,False
228,EURJPY,Interval.in_5_minute,2023-12-04 10:00:13,2023-12-04 10:25:22,short,159.512,159.79,False
229,EURJPY,Interval.in_3_minute,2023-12-04 10:18:30,2023-12-04 10:30:37,long,159.838,159.73,False
230,AUDCHF,Interval.in_1_minute,2023-12-04 10:36:31,2023-12-04 10:40:38,short,0.58008,0.58018,False
231,EURJPY,Interval.in_1_minute,2023-12-04 11:00:51,2023-12-04 11:04:58,long,159.476,159.478,True
232,AUDJPY,Interval.in_1_minute,2023-12-04 11:05:33,2023-12-04 11:09:40,short,97.539,97.476,True
